id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
117910,3500,43,Masculino,1,8700,5305,600,3200,4350,4.6,1,1,0
125895,3500,32,Femenino,0,10600,1060,493,9000,10600,1.9,2,1,0
190337,3500,31,Femenino,3,0,3064,462,-3000,0,1.5,2,0,0
130743,3500,31,Femenino,2,8439,7384,0,1000,2813,0.0,4,0,0
130590,3500,24,Femenino,0,7384,2109,401,5000,7384,0.9,4,1,0
139742,3500,53,Femenino,0,0,2642,444,-2500,0,1.3,5,1,1
118015,3500,47,Masculino,1,6366,2122,659,4000,3183,6.1,1,0,1
144737,4500,49,Femenino,1,15266,3684,438,11000,7633,1.3,6,0,0
73883,3500,21,Masculino,0,16600,4980,0,10500,16600,0.0,2,1,0
106264,3500,29,Masculino,0,9005,6835,537,2000,9005,2.6,10,0,1
121430,3500,55,Femenino,1,15915,10610,461,5000,7957,1.5,1,0,1
132543,3500,48,Femenino,2,8439,4219,436,4000,2813,1.3,4,1,1
84599,11500,32,Femenino,0,10510,0,421,9500,10510,1.2,5,1,0
115195,3500,29,Femenino,1,12846,8564,483,4000,6423,1.8,12,0,1
70815,3500,27,Femenino,2,6640,4426,554,2000,2213,2.9,2,0,0
76885,3500,43,Femenino,1,3311,5518,484,-2000,1655,1.8,3,0,0
79544,3500,54,Femenino,0,5519,662,599,4400,5519,4.6,4,1,1
72410,3500,32,Femenino,2,6640,4426,458,2000,2213,1.5,2,1,0
74732,3500,51,Femenino,0,9933,0,425,9000,9933,1.2,3,1,1
102695,3500,54,Masculino,0,16335,4356,525,11000,16335,2.2,9,1,0
87938,3500,65,Masculino,0,9394,2763,649,6000,9394,6.1,6,0,0
97058,3500,31,Femenino,2,14220,5469,662,8000,4740,6.1,8,0,0
164531,3500,33,Femenino,0,8285,3106,477,5000,8285,1.6,10,1,0
188813,3500,25,Femenino,4,0,5107,519,-5000,0,2.2,2,1,1
124067,3500,26,Masculino,2,10600,9540,461,1000,3533,1.5,2,0,0
86072,6000,42,Femenino,0,7744,4978,435,2500,7744,1.3,5,0,0
103655,3500,38,Masculino,0,8712,6316,493,2200,8712,1.9,9,1,1
173406,4500,22,Femenino,0,0,6187,443,-6000,0,1.3,11,0,0
89424,3500,33,Femenino,1,14368,6631,572,7000,7184,3.5,6,0,0
153716,4500,29,Masculino,1,0,5209,589,-5000,0,4.0,8,1,1
148495,3500,37,Masculino,3,6251,3334,0,2800,1562,0.0,7,1,1
